SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,
2799955,Thương hiệu,Ellis Brooklyn,,,,
2800076,Thương hiệu,Prada,,,,
2800175,Thương hiệu,Sephora Favorites,,,,
2801090,Thương hiệu,PHLUR,,,,
2801447,Thương hiệu,Commodity,,,,
2804961,Thương hiệu,Armani Beauty,,,,
2804979,Thương hiệu,Armani Beauty,,,,
2805091,Thương hiệu,Sephora Favorites,,,,
2806180,Thương hiệu,Carolina Herrera,,,,
2808491,Thương hiệu,KAYALI,,,,
2808517,Thương hiệu,KAYALI,,,,
2808558,Thương hiệu,Charlotte Tilbury,,,,
2809283,Thương hiệu,DedCool,,,,
2809853,Thương hiệu,Maison Louis Marie,,,,
2809986,Thương hiệu,Gucci,,,,
2810000,Thương hiệu,BURBERRY,,,,
2810026,Thương hiệu,BURBERRY,,,,
2810034,Thương hiệu,Gucci,,,,
2810133,Thương hiệu,Carolina Herrera,,,,
2811743,Thương hiệu,HERMÈS,,,,
2811768,Thương hiệu,FORVR Mood,,,,
2813780,Thương hiệu,Ariana Grande,,,,
2814747,Thương hiệu,Glossier,,,,
2795292,Thương hiệu,Marc Jacobs Fragrances,,,,
1001098,Thương hiệu,CHANEL,Kích thước,3.4 oz,,
1007723,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50mL,,
1029958,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz / 100 ml eau de toilette spray,,
1063619,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL,,
1237379,Thương hiệu,CHANEL,Kích thước,1.7 oz,,
1251164,Thương hiệu,Chloé,Kích thước,1 oz/ 30 mL,,
1284249,Thương hiệu,Armani Beauty,Kích thước,1.7 oz/ 50 mL,,
1317635,Thương hiệu,Marc Jacobs Fragrances,Kích thước,4.25 oz/ 125 mL,,
1361930,Thương hiệu,Prada,Kích thước,1.7 oz/ 50 mL,,
1377159,Thương hiệu,Viktor&Rolf,Kích thước,3.4 oz/ 100 mL,,
1400001,Thương hiệu,CHANEL,Kích thước,0.7 oz eau de toilette,,
1406586,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL eau de toilette spray,,
1449115,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
1449149,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
1449214,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
1449289,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
1459999,Thương hiệu,Lancôme,Kích thước,1.7 oz/ 50 mL,,
1565902,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
