SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định
2786572,Thương hiệu,Dolce&Gabbana,,,,,có,
2788198,Thương hiệu,Gucci,,,,,có,
2789006,Thương hiệu,KILIAN Paris,,,,,có,
2790061,Thương hiệu,Carolina Herrera,,,,,có,
2791499,Thương hiệu,DIOR,,,,,có,
2791564,Thương hiệu,DIOR,,,,,có,
2795086,Thương hiệu,Gucci,,,,,có,
2796308,Thương hiệu,KILIAN Paris,,,,,có,
2796316,Thương hiệu,KILIAN Paris,,,,,có,
2799237,Thương hiệu,5 SENS,,,,,có,
2799955,Thương hiệu,Ellis Brooklyn,,,,,có,
2800076,Thương hiệu,Prada,,,,,có,
2800175,Thương hiệu,Sephora Favorites,,,,,có,
2801090,Thương hiệu,PHLUR,,,,,có,
2801447,Thương hiệu,Commodity,,,,,có,
2804961,Thương hiệu,Armani Beauty,,,,,có,
2804979,Thương hiệu,Armani Beauty,,,,,có,
2805091,Thương hiệu,Sephora Favorites,,,,,có,
2806180,Thương hiệu,Carolina Herrera,,,,,có,
2808491,Thương hiệu,KAYALI,,,,,có,
2808517,Thương hiệu,KAYALI,,,,,có,
2808558,Thương hiệu,Charlotte Tilbury,,,,,có,
2809283,Thương hiệu,DedCool,,,,,có,
2809853,Thương hiệu,Maison Louis Marie,,,,,có,
2809986,Thương hiệu,Gucci,,,,,có,
2810000,Thương hiệu,BURBERRY,,,,,có,
2810026,Thương hiệu,BURBERRY,,,,,có,
2810034,Thương hiệu,Gucci,,,,,có,
2810133,Thương hiệu,Carolina Herrera,,,,,có,
2811743,Thương hiệu,HERMÈS,,,,,có,
2811768,Thương hiệu,FORVR Mood,,,,,có,
2813780,Thương hiệu,Ariana Grande,,,,,có,
2814747,Thương hiệu,Glossier,,,,,có,
2795292,Thương hiệu,Marc Jacobs Fragrances,,,,,có,
1001098,Thương hiệu,CHANEL,Kích thước,3.4 oz,,,có,
1007723,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50mL,,,có,
1029958,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz / 100 ml eau de toilette spray,,,có,
1063619,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL,,,có,
1237379,Thương hiệu,CHANEL,Kích thước,1.7 oz,,,có,
1251164,Thương hiệu,Chloé,Kích thước,1 oz/ 30 mL,,,có,
1284249,Thương hiệu,Armani Beauty,Kích thước,1.7 oz/ 50 mL,,,có,
1317635,Thương hiệu,Marc Jacobs Fragrances,Kích thước,4.25 oz/ 125 mL,,,có,
1361930,Thương hiệu,Prada,Kích thước,1.7 oz/ 50 mL,,,có,
1377159,Thương hiệu,Viktor&Rolf,Kích thước,3.4 oz/ 100 mL,,,có,
1400001,Thương hiệu,CHANEL,Kích thước,0.7 oz eau de toilette,,,có,
1406586,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL eau de toilette spray,,,có,
1449115,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
1449149,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
1449214,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
1449289,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
1459999,Thương hiệu,Lancôme,Kích thước,1.7 oz/ 50 mL,,,có,
1565902,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
1585009,Thương hiệu,NEST New York,Kích thước,1.7 oz/ 50 mL,,,có,
1593144,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL eau de toilette spray,,,có,
1601301,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz / 75 mL eau de parfum spray,,,có,
1602259,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 ml eau de toilette spray,,,có,
1605385,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL,,,có,
1632777,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
1688852,Thương hiệu,Yves Saint Laurent,Kích thước,3 oz/ 90 mL,,,có,
1696921,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,,có,
1698299,Thương hiệu,Yves Saint Laurent,Kích thước,0.33 oz/ 10 mL eau de parfum spray,,,có,
1703321,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL,,,có,
1712918,Thương hiệu,Versace,Kích thước,0.34 oz/ 10 mL,,,có,
1731918,Thương hiệu,Gucci,Kích thước,1 oz,,,có,
1788058,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,
1808088,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
1837624,Thương hiệu,CHANEL,Kích thước,1.7 oz/ 50 mL,,,có,
1838010,Thương hiệu,BURBERRY,Kích thước,3 oz/ 89 mL,,,có,
1838861,Thương hiệu,Yves Saint Laurent,Kích thước,1.6 oz/ 47 mL,,,có,
1856491,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL Eau de Parfum Spray,,,có,
1873397,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,
1873405,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,
1912591,Thương hiệu,DIOR,Kích thước,3.4 oz/ 100 mL,,,có,
1915487,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,
1915537,Thương hiệu,GUERLAIN,Kích thước,3.3 oz/ 100 mL,,,có,
1928548,Thương hiệu,Yves Saint Laurent,Kích thước,0.34 oz/ 10 mL,,,có,
1930759,Thương hiệu,Sol de Janeiro,Kích thước,8.1 oz/ 240 mL,,,có,
1942812,Thương hiệu,Dolce&Gabbana,Kích thước,3.3 oz/ 100 mL,,,có,
1964840,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL,,,có,
1976075,Thương hiệu,BURBERRY,Kích thước,3.0 oz/ 90 mL eau de parfum spray,,,có,
1976554,Thương hiệu,HERMÈS,Kích thước,2.8 oz/ 83 mL,,,có,
1985779,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz/ 10 mL,,,có,
1985779,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz/ 10 mL,,,có,
1992627,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,
2036788,Thương hiệu,CLEAN RESERVE,Kích thước,0.33 oz/ 10 mL,,,có,
2037471,Thương hiệu,Chloé,Kích thước,2.5 oz/ 75 mL,,,có,
2037935,Thương hiệu,Armani Beauty,Kích thước,1.7 oz/ 50 mL,,,có,
2038917,Thương hiệu,TOM FORD,Kích thước,0.33 oz/10 mL,,,có,
2038933,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
2040475,Thương hiệu,CHANEL,Kích thước,1.7 oz/ 50 mL,,,có,
2047801,Thương hiệu,The 7 Virtues,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,
2052546,Thương hiệu,Versace,Kích thước,1.7 oz/ 50 mL,,,có,
2056208,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
2077980,Thương hiệu,Maison Louis Marie,Kích thước,1.7 oz/ 50 mL,,,có,
2098044,Thương hiệu,DIOR,Kích thước,.7 oz / 20 mL eau de toilette rollerball,,,có,
2101293,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50mL,,,có,
2101368,Thương hiệu,TOM FORD,Kích thước,0.3 oz/ 10 mL,,,có,
2160455,Thương hiệu,BURBERRY,Kích thước,1.6 oz/ 50 mL eau de parfum spray,,,có,
2175727,Thương hiệu,TOM FORD,Kích thước,0.33 oz/ 10 mL,,,có,
2175982,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz / 100 mL,,,có,
2176071,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz/ 100 mL,,,có,
2176196,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL,,,có,
2176584,Thương hiệu,Ellis Brooklyn,Kích thước,0.33oz/10mL,,,có,
2176626,Thương hiệu,Ellis Brooklyn,Kích thước,1.7oz/50mL,,,có,
2177996,Thương hiệu,Maison Margiela,Kích thước,3.4oz/ 100mL,,,có,
2196996,Thương hiệu,CLEAN RESERVE,Kích thước,1oz/30mL,,,có,
2197143,Thương hiệu,CLEAN RESERVE,Kích thước,2 oz / 60 mL,,,có,
2202380,Thương hiệu,Jo Malone London,Kích thước,2 x 0.3oz/9mL,,,có,
2236214,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz/ 50 mL Eau De Parfum Spray,,,có,
2236222,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz/ 50 mL,,,có,
2236255,Thương hiệu,By Rosie Jane,Kích thước,1.7 / 50,,,có,
2238145,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,,có,
2249621,Thương hiệu,Lancôme,Kích thước,1.7 oz/ 50 mL,,,có,
2251205,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
2288025,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz Eau de Parfum Spray,,,có,
2316032,Thương hiệu,Yves Saint Laurent,Kích thước,3.04 oz/ 90 mL,,,có,
2316099,Thương hiệu,CLEAN RESERVE,Kích thước,3.4 oz/ 100 mL,,,có,
2316255,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,
2316362,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL,,,có,
2317345,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL,,,có,
2317352,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL,,,có,
2318756,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
2319424,Thương hiệu,Armani Beauty,Kích thước,1 oz/ 30 mL,,,có,
2320109,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL Eau de Parfum Spray,,,có,
2320133,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,
2320174,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,
2320240,Thương hiệu,DIOR,Kích thước,0.67 oz/ 20 mL,,,có,
2327278,Thương hiệu,TOM FORD,Kích thước,1.5 oz/ 45 mL,,,có,
2327278,Thương hiệu,TOM FORD,Kích thước,1.5 oz/ 45 mL,,,có,
2355451,Thương hiệu,KILIAN Paris,Kích thước,0.24 oz / 7.5 mL eau de parfum spray,,,có,
2361038,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,
2362812,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz/ 100 mL,,,có,
2362838,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,
2369288,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,,có,
2369338,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
2369387,Thương hiệu,TOM FORD,Kích thước,0.33 oz/ 10 mL,,,có,
2369940,Thương hiệu,OUAI,Kích thước,0.34 fl oz/ 10 mL,,,có,
2370401,Thương hiệu,Valentino,Kích thước,1.7 oz/ 50 mL,,,có,
2370435,Thương hiệu,Valentino,Kích thước,0.33 oz/ 10 mL,,,có,
2371888,Thương hiệu,Yves Saint Laurent,Kích thước,5.07 oz / 147 mL eau de parfum spray,,,có,
2371987,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,,có,
2373876,Thương hiệu,DIOR,Kích thước,1.7 oz/ 50 mL,,,có,
2376044,Thương hiệu,Sol de Janeiro,Kích thước,3.0 oz/ 90 mL,,,có,
2399764,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 mL,,,có,
2408060,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL eau de toilette spray,,,có,
2408177,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,
2408250,Thương hiệu,Dolce&Gabbana,Kích thước,0.33 oz/ 10 mL,,,có,
2408458,Thương hiệu,Valentino,Kích thước,3.4 oz/ 100 mL,,,có,
2411429,Thương hiệu,NEST New York,Kích thước,1 oz/ 30 mL,,,có,
2411437,Thương hiệu,NEST New York,Kích thước,0.20 oz / 6 ml,,,có,
2427482,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,,có,
2444628,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz/ 3 mL,,,có,
2444628,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz/ 3 mL,,,có,
2461812,Thương hiệu,Sol de Janeiro,Kích thước,3 oz/ 90 mL,,,có,
2465433,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,
2466472,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,,có,
2467157,Thương hiệu,Mugler,Kích thước,3 oz/ 89 mL eau de parfum spray,,,có,
2468098,Thương hiệu,Carolina Herrera,Kích thước,2.7 oz/ 80 mL,,,có,
2468353,Thương hiệu,SKYLAR,Kích thước,0.33 oz/ 10 mL,,,có,
2470714,Thương hiệu,Gucci,Kích thước,3.3 oz / 100 ml eau de parfum spray,,,có,
2471514,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,
2474021,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,
2474237,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,
2480564,Thương hiệu,Viktor&Rolf,Kích thước,3.4 oz eau de parfum spray,,,có,
2483121,Thương hiệu,Moroccanoil,Kích thước,1 oz/ 30 mL,,,có,
2483139,Thương hiệu,Moroccanoil,Kích thước,3.4 oz/ 100 mL,,,có,
2493930,Thương hiệu,KAYALI,Kích thước,0.33 oz/ 10 mL eau de parfum spray,,,có,
2493955,Thương hiệu,KAYALI,Kích thước,3.4 oz/ 100 mL eau de parfum spray,,,có,
2531812,Thương hiệu,DIOR,Kích thước,0.7 oz/ 20 mL,,,có,
2541399,Thương hiệu,Valentino,Kích thước,3.4 oz/100 mL,,,có,
2541530,Thương hiệu,Gucci,Kích thước,1.7 oz/ 50 mL,,,có,
2543627,Thương hiệu,Valentino,Kích thước,.33 oz / 10 mL,,,có,
2543635,Thương hiệu,Valentino,Kích thước,0.33 oz/ 10 mL,,,có,
2544484,Thương hiệu,BURBERRY,Kích thước,3.3 oz/ 100 mL eau de toilette spray,,,có,
2546125,Thương hiệu,Yves Saint Laurent,Kích thước,1.7 oz / 50 mL,,,có,
2549236,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,
2552511,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL eau de parfum spray,,,có,
2553188,Thương hiệu,DIOR,Kích thước,3.4 oz / 100 mL,,,có,
2553311,Thương hiệu,Viktor&Rolf,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,
2558807,Thương hiệu,World of Chris Collins,Kích thước,1.7 oz/ 50 mL,,,có,
2562718,Thương hiệu,HERETIC,Kích thước,1.7 oz/ 50 mL eau de parfum,,,có,
2568350,Thương hiệu,PHLUR,Kích thước,1.7 oz/ 50 mL,,,có,
2569747,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz / 90 mL,,,có,
2576072,Thương hiệu,KILIAN Paris,Kích thước,1.70 oz / 50 mL eau de parfum spray,,,có,
2577443,Thương hiệu,Sol de Janeiro,Kích thước,8.01 oz / 240 mL,,,có,
2577443,Thương hiệu,Sol de Janeiro,Kích thước,8.01 oz / 240 mL,,,có,
2586253,Thương hiệu,Lancôme,Kích thước,0.33 oz / 10 mL,,,có,
2590503,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 mL eau de toilette spray,,,có,
